order_item_id,order_id,product_id,quantity,unit_price
1,4499,260,1.0,2918.97
2,4916,105,5.0,980.11
3,5467,3,2.0,1533.14
4,6140,225,5.0,2945.05
5,7963,205,1.0,2835.27
6,4466,178,4.0,3262.78
7,9598,9,2.0,1306.98
8,7167,202,4.0,2525.54
9,6602,137,2.0,1367.13
10,5452,254,2.0,977.99
11,4898,203,5.0,1875.26
12,9819,294,2.0,2492.89
13,5719,272,4.0,3710.38
14,2516,228,5.0,935.9
15,2797,187,1.0,1183.06
16,3564,183,5.0,1728.36
17,8145,126,4.0,225.96
18,8996,175,2.0,2519.11
19,6329,46,2.0,1008.53
20,9951,214,3.0,1236.33
21,8389,204,3.0,805.82
22,42,148,4.0,20.43
23,367,288,4.0,2785.9
24,9218,176,5.0,3113.97
25,1060,52,4.0,179.01
26,1123,248,2.0,1221.74
27,4544,294,3.0,2828.67
28,9897,50,2.0,2682.6
29,1644,174,4.0,509.84
30,2914,142,5.0,2297.99
31,5511,126,5.0,211.48
32,7290,244,4.0,2201.65
33,5231,180,5.0,1357.3
34,5926,19,3.0,2956.01
35,4315,156,2.0,2681.58
36,7077,157,5.0,1969.54
37,1669,242,3.0,1937.27
38,2863,211,2.0,122.85
39,4353,2,5.0,354.8
40,3949,28,3.0,2056.55
41,5898,58,5.0,768.35
42,835,238,1.0,103.02
43,5457,57,3.0,1631.58
44,3748,237,3.0,2296.03
45,1176,135,3.0,2126.39
46,2834,275,3.0,2564.9
47,8200,188,3.0,1358.86
48,3658,206,3.0,2153.59
49,7993,139,3.0,653.11
50,5388,49,3.0,884.82
51,5146,240,2.0,130.19
52,8789,122,3.0,121.47
53,290,191,5.0,1780.87
54,9795,177,3.0,226.89
55,8218,250,1.0,1999.02
56,2546,210,5.0,1746.43
57,1927,135,2.0,2300.29
58,3497,211,3.0,108.18
59,299,228,4.0,804.23
60,9715,53,4.0,606.95
61,8073,50,5.0,2409.46
62,4024,251,3.0,210.97
63,5233,64,5.0,2749.4
64,8491,175,2.0,2575.33
65,6109,256,4.0,3400.98
66,417,19,2.0,2743.12
67,1276,199,4.0,1283.01
68,512,179,1.0,3159.05
69,578,54,4.0,2779.15
70,4419,236,5.0,2863.0
71,7086,18,5.0,2522.69
72,5122,92,3.0,375.78
